Name,Position,Rating,PAC,SHO,PAS,DRI,DEF,PHY
Okocha,CAM,90,87,83,84,94,40,60
Carlos,LB,88,90,81,86,79,83,85
Shearer,ST,91,81,93,77,78,52,85
Vieri,ST,88,82,88,70,80,41,84
Del Piero,CF,90,85,90,85,92,42,69
Nesta,CB,92,72,42,65,67,94,86
Campbell,CB,85,84,43,56,56,85,85
Desailly,CB,91,83,52,66,67,90,90
Rui Costa,CAM,90,86,81,88,88,44,79
Scholes,CM,91,72,87,91,80,64,82
Zanetti,RB,92,86,63,88,85,90,81
Cannavaro,CB,92,80,43,63,68,95,85
Keane,CM,90,72,71,85,81,87,89
Maldini,LB,88,87,54,73,65,90,78
Inzaghi,ST,90,79,91,69,83,36,65
Zola,CF,90,86,91,88,91,43,63
Seedorf,CAM,91,80,87,90,88,68,82
Zidane,CAM,96,85,92,96,95,75,86
Pirès,LM,91,88,82,88,89,40,64
Vieira,CM,88,85,75,80,84,86,89
Petit,CDM,90,77,79,82,78,87,89
Henry,ST,93,94,91,83,90,53,80
Ballack,CM,91,81,90,88,83,81,86
Gattuso,CDM,87,74,62,68,70,87,90
Stoichkov,ST,92,92,93,86,92,50,86
Lampard,CM,90,74,90,88,84,73,81
Rivaldo,LW,92,87,91,88,92,44,78
Bergkamp,CAM,90,85,89,83,88,35,73
Owen,ST,91,90,89,70,88,34,67
Litmanen,CAM,90,82,89,84,84,36,64
Luís Figo,RW,92,92,88,89,92,41,80
Overmars,LW,88,95,81,80,88,44,64
Kluivert,ST,86,87,83,77,81,37,76
Trezeguet,ST,91,81,92,70,82,45,80
Nedved,LM,91,85,88,90,90,60,81
Verón,CM,88,74,83,88,83,75,82
Crespo,ST,90,89,90,72,89,38,73
Pirlo,CM,92,73,80,95,91,71,67
van Nistelrooy,ST,92,86,91,74,85,37,82
Nakata,CAM,86,82,81,85,85,64,66
Klose,ST,87,77,85,73,78,41,70
Puyol,RB,86,76,45,68,58,88,89
Gerrard,CM,91,77,90,90,85,77,84
Riquelme,CAM,91,70,87,93,93,32,69
Ronaldinho,LW,94,92,90,91,95,37,81
Drogba,ST,91,90,92,77,82,47,90
Ronaldo,ST,96,97,95,81,95,45,76
Raúl,CF,92,88,92,82,90,47,75
van der Sar,GK,91,85,90,81,89,40,95
Deco,CM,90,83,79,91,90,51,70
Kaká,CAM,91,91,86,88,92,44,73
Hernández,ST,90,92,88,74,89,48,70
Hierro,CB,91,73,68,76,70,93,87
Sánchez,ST,92,92,93,81,90,44,75
Hagi,CAM,91,83,89,90,90,43,65
Baresi,CB,93,70,49,76,72,95,82
Capita,RB,93,90,66,81,86,90,87
Koeman,CB,91,75,88,89,80,90,86
Maradona,CAM,97,92,93,92,97,40,76
Pelé,CF,91,94,89,88,93,53,73
Moore,CB,92,68,64,83,78,93,85
Sócrates,CAM,91,84,90,91,90,45,84
Eusébio,CF,89,95,91,82,90,43,78
Cruyff,CF,94,91,92,91,94,42,73
Schmeichel,GK,90,89,84,85,93,50,86
Matthäus,CDM,91,87,84,86,77,89,82
Giggs,LM,92,90,80,90,91,44,67
Gullit,CF,93,86,91,91,89,82,90
Rijkaard,CDM,90,77,76,83,80,90,87
van Basten,ST,93,83,94,76,89,39,75
Lineker,ST,92,88,91,73,86,36,76
Blanc,CAM,85,83,82,75,84,79,78
Laudrup,CAM,91,85,79,90,92,38,64
Best,RW,93,93,91,84,94,58,71
Henry,LW,87,93,82,79,87,43,68
Ronaldo,ST,90,94,90,77,91,42,72
Ferdinand,CB,85,84,48,65,70,84,83
Ronaldo,ST,94,93,93,80,93,46,80
Pelé,CAM,98,95,96,93,96,60,76
Ferdinand,CB,88,80,48,65,64,89,82
Pelé,CF,95,96,93,90,95,56,75
Maradona,CAM,91,93,87,87,94,38,76
Carlos,LB,86,92,80,79,81,81,78
